backend,imgsz,mAP,mAP_50,mAP_75,mAP_small,mAP_medium,mAP_large
pytorch,640,0.3297813493744631,0.4378293053661264,0.3643868085311404,0.1300587628873139,0.354983113833578,0.5430895647755355
onnx,640,0.3193889222532974,0.4257163220025753,0.3534618736021847,0.1061007027284195,0.3440102453138501,0.524865662009706
pytorch,320,0.24020283997624012,0.32806860805520593,0.2582710085054304,0.025595912577375802,0.20994906965576243,0.4774434369715325
onnx,320,0.24140360767458657,0.33109303695850245,0.25908060014467627,0.026305337565592876,0.20777079354230593,0.4891799523720886
