backend,imgsz,mean_latency_ms,std_latency_ms,min_latency_ms,max_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,throughput_fps
pytorch,640,89.70069870948791,11.20088606684554,59.0407133102417,139.1111135482788,87.17538118362427,112.8642725944519,120.93659543991087,11.148185180125326
onnx,640,45.7735472202301,6.820114521069526,31.18734359741211,64.73464965820312,43.259572982788086,56.91604852676392,60.03327202796935,21.84667915704028
pytorch,320,44.18704218864441,3.7099115868596444,32.86426067352295,70.02885341644287,43.585824966430664,51.61651134490967,55.44620156288147,22.631068984675988
onnx,320,10.815402746200562,3.4862927395659273,2.007460594177246,17.92011260986328,11.447012424468994,15.92670440673828,16.875747442245483,92.46072693421415
